Date,MJD,BarIdx,OpenTime,CloseTime,ClosePrice,Quantity,Slope_1h,TurnOver_1h,Slope_2h,Label,Label_Predicted
2017-08-02,57967,15,13:15:00,13:29:59,39.24,1050992,-0.0764136525726135,1.0076422388920945,-0.0925640234495444,0.0,0.0
2017-08-02,57967,16,13:30:00,13:44:59,39.31,846094,0.0280183392765982,1.044798038084247,-0.0714618799319257,0.0,0.0
2017-08-02,57967,17,13:45:00,13:59:57,39.34,1021582,0.1094844048376677,1.056956145412579,-0.0381533765738173,0.0,0.0
2017-08-02,57967,18,14:00:02,14:14:59,39.4,771278,0.129688493324833,1.0646122331217542,0.0084785281275259,0.0,0.0
2017-08-02,57967,19,14:15:01,14:29:57,39.44,877231,0.1143002286004349,1.0144792267743796,0.0566244557087816,0.0,0.0
2017-08-02,57967,20,14:30:01,14:44:59,39.48,1039159,0.1166920345002183,1.0701817657241777,0.0911210002119116,0.0,0.0
2017-08-02,57967,21,14:45:00,14:59:58,39.48,762401,0.0709579320830967,0.9954036353144836,0.1049264003289988,0.0,0.0
2017-08-02,57967,22,15:00:01,15:14:59,39.5,1377865,0.0455927051671586,1.1704143104443163,0.0945253799135082,0.0,0.0
2017-08-02,57967,23,15:15:01,15:29:59,39.52,1114770,0.0354520131678803,1.2389483554529717,0.0769314314676737,0.0,0.0
2017-08-02,57967,24,15:30:00,15:44:59,39.44,1114561,-0.0253228665485113,1.260703115983843,0.0446503994400716,0.0,0.0
2017-08-02,57967,25,15:45:00,16:00:00,39.28,5038159,-0.187484165188772,2.4943320830929023,-0.0211184321675914,0.0,0.0
2017-08-03,57968,0,9:30:00,9:44:59,39.16,2562244,-0.3150406504065241,2.836045585689556,-0.0923177177612043,0.0,0.0
2017-08-03,57968,1,9:45:00,9:59:59,39.06,1809587,-0.3212646608873252,3.036512117714945,-0.1592933169212897,0.0,0.0
2017-08-03,57968,2,10:00:00,10:14:58,38.86,1763387,-0.3477371516236521,3.2237094633583383,-0.2353126209833446,1.0,0.0
2017-08-03,57968,3,10:15:01,10:29:58,38.97,1184595,-0.1973599897475534,2.1118906520484706,-0.2510259585731278,0.0,0.0
2017-08-03,57968,4,10:30:00,10:44:59,39.0,849360,-0.0179556239579662,1.617694460473168,-0.2237279468166657,0.0,0.0
2017-08-03,57968,5,10:45:00,10:59:59,39.05,811248,0.1539053482108236,1.32965666474322,-0.149362010839411,0.0,1.0
2017-08-03,57968,6,11:00:00,11:14:59,39.14,1249439,0.1434977578475064,1.1813739180611655,-0.0487712688455162,0.0,1.0
2017-08-03,57968,7,11:15:00,11:29:59,39.07,731208,0.0768049155145601,1.050564050778996,0.0112783559205305,0.0,1.0
2017-08-03,57968,8,11:30:00,11:44:59,39.02,605101,-0.0409626216077994,0.9800911713791114,0.0405618889031311,0.0,1.0
2017-08-03,57968,9,11:45:01,11:59:59,38.99,485517,-0.1280573697016446,0.8861122331217542,0.0445551201767635,0.0,1.0
2017-08-03,57968,10,12:00:00,12:14:59,38.95,520943,-0.0999871811306473,0.6759287362954414,-0.0106810219601727,1.0,1.0
2017-08-03,57968,11,12:15:01,12:29:59,39.03,551721,-0.0025637738751552,0.6241436814772071,-0.0240993258289731,1.0,1.0
2017-08-03,57968,12,12:30:00,12:44:55,38.97,381707,0.0051308363262995,0.5596907097518753,-0.0457582135993339,1.0,1.0
2017-08-03,57968,13,12:45:03,12:59:57,38.98,313930,0.0076972418216456,0.5101849394114253,-0.049749421624816,1.0,1.0
2017-08-03,57968,14,13:00:02,13:14:59,38.9,408374,-0.0974983964079756,0.4777068667051355,-0.0418353823509602,1.0,0.0
2017-08-03,57968,15,13:15:00,13:29:59,38.86,660420,-0.105303711313744,0.5090683785343335,-0.0470387000213775,1.0,0.0
2017-08-03,57968,16,13:30:01,13:44:59,38.87,576029,-0.0951523723801156,0.5651335833814195,-0.0510291385547985,1.0,0.0
2017-08-03,57968,17,13:45:02,13:59:55,38.95,519311,0.0411469718400284,0.6243894979803808,-0.0369827006540691,1.0,0.0
2017-08-03,57968,18,14:00:00,14:14:59,38.95,471580,0.0899511693651756,0.6426255049047894,-0.0314811418790833,1.0,0.0
2017-08-03,57968,19,14:15:01,14:29:58,38.94,446950,0.0539221979714777,0.5810357761107905,-0.0061136278879146,1.0,0.0
2017-08-03,57968,20,14:30:00,14:44:59,38.9,441763,-0.0410835794068773,0.5422977495672244,-0.000305877746771,1.0,0.0
2017-08-03,57968,21,14:45:00,14:59:59,38.88,424184,-0.0642343268242836,0.5148519907674552,0.0082629452809448,1.0,0.0
2017-08-03,57968,22,15:00:00,15:14:59,38.93,561163,-0.0128485159964237,0.5406982111944605,0.0116248478062765,1.0,0.0
2017-08-03,57968,23,15:15:01,15:29:59,38.96,666668,0.0591031735834332,0.6040905943450664,0.0085612773425838,1.0,0.0
2017-08-03,57968,24,15:30:01,15:44:59,38.86,1437942,-0.007711091119412,0.8915051933064052,-0.0192628740208014,1.0,0.0
2017-08-03,57968,25,15:45:00,16:00:00,38.89,2810662,-0.0565407350295703,1.5800447201384884,-0.0180491058044671,1.0,0.0
2017-08-04,57969,0,9:30:00,9:44:59,39.27,2330387,0.2466281310211723,2.090495960761685,0.0682195015999553,0.0,0.0
2017-08-04,57969,1,9:45:00,9:59:59,39.18,1625711,0.3432816702958684,2.367196191575303,0.112883390539829,0.0,0.0
2017-08-04,57969,2,10:00:00,10:14:59,39.13,1334715,0.1608989911888471,2.3374134448932486,0.1210498321809207,0.0,0.0
2017-08-04,57969,3,10:15:00,10:29:59,39.28,879299,-0.0050987890376352,1.7801823427582228,0.1414729036703766,0.0,0.0
2017-08-04,57969,4,10:30:00,10:44:58,39.17,938158,0.0306317804722268,1.378500577034045,0.1277139208173731,0.0,0.0
2017-08-04,57969,5,10:45:00,10:59:59,39.11,1271333,-0.043422733077933,1.2762564916330064,0.0951772790853301,0.0,0.0
2017-08-04,57969,6,11:00:00,11:14:57,39.11,634775,-0.1456310679611878,1.0743118869013273,0.0261509456911819,0.0,0.0
2017-08-04,57969,7,11:15:00,11:29:58,39.21,723540,0.030659172202318,1.0293727639930756,-0.0285653508372043,0.0,0.0
2017-08-04,57969,8,11:30:01,11:44:57,39.2,343340,0.0944962329204356,0.8577576457010964,-0.0009116601330969,0.0,0.0
2017-08-04,57969,9,11:45:02,11:59:57,39.11,393047,-0.0025539522411235,0.6043571840738604,-0.0127713920817281,0.0,0.0
2017-08-04,57969,10,12:00:00,12:14:59,39.06,365379,-0.1379134210190505,0.5266318522792844,-0.0447112927950867,1.0,0.0
