TradeFrequency,ReviewPeriod,ARR_mean,ARR_median,ARR_std,ARR_max,ARR_min,Sharp_Ratio
2d,4w,22.522767403474344,27.82769556025304,97.69890177067212,374.9065084289877,-375.3508889185938,0.25617171848052456
2d,8w,23.622283008699675,23.308212370175916,72.43731194595917,268.06534436836114,-239.70082856632047,0.2831166952395442
2d,13w,26.289387176688706,24.110933591592154,72.91221419223467,367.8276906691045,-169.57752348475358,0.2922820795896474
2d,26w,23.972133612703484,23.46521162328612,39.5570692954278,160.51257509236194,-65.26882684900616,0.5224151331573672
2d,1y,25.890046949770422,25.34935177547286,33.94635616226415,147.89379767793667,-31.80328954621906,0.6642642782538009
2d,2y,32.55562513368425,28.96439768608787,20.291028231303887,98.63523012936315,-6.738026806580671,1.289456472477963
2d,3y,26.35260132735374,25.703159660570588,6.519883187432081,45.39197372219835,8.992877318424123,3.512817484938901
1w,4w,25.373038352751678,21.953638358723413,104.42160679560205,453.25034578146597,-383.6036332702176,0.18342600680542404
1w,8w,26.442421274934524,22.723744221896467,77.83929571550745,318.953204284909,-233.27933765298775,0.2559599754693975
1w,13w,27.030214476347066,23.3769043004739,64.11050839970288,279.57150911482813,-145.4770120272495,0.3209599301909336
1w,26w,26.825292952782306,22.17832711336363,43.68976632899796,221.00816407139936,-62.774991694051586,0.44354384886013365
1w,1y,29.310812997729133,23.622469975164773,34.211879268232465,137.9389327230058,-25.83318531744887,0.6086327445478721
1w,2y,34.911706267112315,34.86448197049267,19.058623029061305,98.2235624995522,-3.2067521742411675,1.6824133580689193
1w,3y,32.99696506027248,32.61932776648497,8.764645054416427,62.569016246573874,13.666394374347979,3.4022287932195585
1h,4w,24.703511109841656,31.541999530023546,91.16966874242675,352.8607129887476,-387.9292839332405,0.31525835210859066
1h,8w,25.60681741049779,22.828560750434246,69.94736993798662,225.7442748136317,-225.28713953966664,0.28633758164447076
1h,13w,31.56444998796574,15.291590126625021,93.52066433494466,413.60190383436014,-168.13636998835076,0.13357037415694928
1h,26w,26.69066046348422,16.288846314708927,37.57359390300663,189.60304048427014,-40.60413744226159,0.3589980332871366
1h,1y,31.40204903924273,23.35933890455648,32.18648856629237,148.86920018971813,-20.86563368346994,0.6387568144382006
1h,2y,37.676245593851505,39.55041289002741,20.758195533620132,92.88365474567446,-2.320185786420531,1.770404986816227
1h,3y,36.49028567096854,36.48628162704816,6.588923469448684,58.38669008171896,18.03878815215211,5.112562284756177
2w,4w,23.008923438602324,17.086527929901372,106.10475548261232,458.53035143769966,-375.3508889185938,0.13464550071219517
2w,8w,23.764569396513327,22.433460076045495,78.79807069850409,317.6094719037773,-233.70918275302193,0.24916168507686848
2w,13w,28.607549282436782,21.919617414105108,87.11954176500399,471.842181135432,-184.94185549746572,0.21946416414446154
2w,26w,25.02629582953923,20.249952917599057,45.88132551051004,219.333371439701,-73.85701776554285,0.3803280032439733
2w,1y,27.71212380910536,23.684571870442728,38.15749839429272,133.97658675327776,-36.11660063776411,0.5473254995554547
2w,2y,32.22772982893195,28.02617704172482,27.687192624103634,95.82634576236883,-16.511641147881235,0.9111135745761263
2w,3y,27.34548789410794,26.498683943074123,6.291539111766472,48.293552833353885,11.213102198761193,3.7667546083839345
3d,4w,36.50889794843226,18.398515700454453,195.79867957248936,965.8936585965853,-488.36759369595944,0.07966609240936944
3d,8w,32.020715260566185,26.95155278547579,109.68592130116127,458.4688879682247,-312.8206247642144,0.22018826572248604
3d,13w,30.87139275147877,26.860272272687745,81.85880284240247,439.01602338972816,-192.80990913016757,0.29392406726261866
3d,26w,28.8277933007828,26.253891056779644,49.66863488659642,259.54289908994525,-83.5456179322978,0.472207281523433
3d,1y,30.098865727441957,25.657076763077836,38.330238414636504,199.02572879033866,-34.78882229121224,0.5963197128027724
