Date,open,high,low,close
4-Jan-16,2038.2,2038.2,1989.68,2012.66
5-Jan-16,2013.78,2021.94,2004.17,2016.71
6-Jan-16,2011.71,2011.71,1979.05,1990.26
7-Jan-16,1985.32,1985.32,1938.83,1943.09
8-Jan-16,1945.97,1960.4,1918.46,1922.03
11-Jan-16,1926.12,1935.65,1901.1,1923.67
12-Jan-16,1927.83,1947.38,1914.35,1938.68
13-Jan-16,1940.34,1950.33,1886.41,1890.28
14-Jan-16,1891.68,1934.47,1878.93,1921.84
15-Jan-16,1916.68,1916.68,1857.83,1880.33
19-Jan-16,1888.66,1901.44,1864.6,1881.33
20-Jan-16,1876.18,1876.18,1812.29,1859.33
21-Jan-16,1861.46,1889.85,1848.98,1868.99
22-Jan-16,1877.4,1908.85,1877.4,1906.9
25-Jan-16,1906.28,1906.28,1875.97,1877.08
26-Jan-16,1878.79,1906.73,1878.79,1903.63
27-Jan-16,1902.52,1916.99,1872.7,1882.95
28-Jan-16,1885.22,1902.96,1873.65,1893.36
29-Jan-16,1894.0,1940.24,1894.0,1940.24
1-Feb-16,1936.94,1947.2,1920.3,1939.38
2-Feb-16,1935.26,1935.26,1897.29,1903.03
3-Feb-16,1907.07,1918.01,1872.23,1912.53
4-Feb-16,1911.67,1927.35,1900.52,1915.45
5-Feb-16,1913.07,1913.07,1872.65,1880.05
8-Feb-16,1873.25,1873.25,1828.46,1853.44
9-Feb-16,1848.46,1868.25,1834.94,1852.21
10-Feb-16,1857.1,1881.6,1850.32,1851.86
11-Feb-16,1847.0,1847.0,1810.1,1829.08
12-Feb-16,1833.4,1864.78,1833.4,1864.78
16-Feb-16,1871.44,1895.77,1871.44,1895.58
17-Feb-16,1898.8,1930.68,1898.8,1926.82
18-Feb-16,1927.57,1930.0,1915.09,1917.83
19-Feb-16,1916.74,1918.78,1902.17,1917.78
22-Feb-16,1924.44,1946.7,1924.44,1945.5
23-Feb-16,1942.38,1942.38,1919.44,1921.27
24-Feb-16,1917.56,1932.08,1891.0,1929.8
25-Feb-16,1931.87,1951.83,1925.41,1951.7
26-Feb-16,1954.95,1962.96,1945.78,1948.05
29-Feb-16,1947.13,1958.27,1931.81,1932.23
1-Mar-16,1937.09,1978.35,1937.09,1978.35
2-Mar-16,1976.6,1986.51,1968.8,1986.45
3-Mar-16,1985.6,1993.69,1977.37,1993.4
4-Mar-16,1994.01,2009.13,1986.77,1999.99
7-Mar-16,1996.11,2006.12,1989.38,2001.76
8-Mar-16,1996.88,1996.88,1977.43,1979.26
9-Mar-16,1981.44,1992.69,1979.84,1989.26
10-Mar-16,1990.97,2005.08,1969.25,1989.57
11-Mar-16,1994.71,2022.37,1994.71,2022.19
14-Mar-16,2019.27,2024.57,2012.05,2019.64
