Month,AUC_Model_Train,AUC_Model_Test,AUC_Random,Log_Loss_Train,Log_Loss_Test,Sensitivity,Specificity
2017-08,0.7055012304810855,0.5,0.4854513617227376,0.5581472154130425,0.8772387423853447,0.0,1.0
2017-09,0.7064491552455097,0.5,0.4968152866242038,0.5499636113307627,0.8490898216256765,1.0,0.0
2017-10,0.6833104295373839,0.4236276849642005,0.4645251895507606,0.5682918640460971,0.6450000307424375,0.847255369928401,0.0
2017-11,0.652980442945204,0.4675090252707581,0.5133274353961843,0.5547715236565623,0.7973830142567109,0.9350180505415162,0.0
2017-12,0.6638218156957778,0.5248868778280543,0.47786774628879886,0.5545321949361918,0.6765086787990456,0.5882352941176471,0.46153846153846156
2018-01,0.6892291163040559,0.47663684039792387,0.5004730752595156,0.5564373165922524,0.7584504300074689,0.62109375,0.33217993079584773
2018-02,0.7201760819618221,0.5,0.428706980561112,0.5479723663781594,0.7339175682224811,1.0,0.0
2018-03,0.7349221888037256,0.35848838819890116,0.48509472582606156,0.5589306564535663,0.7462160582731019,0.45251396648044695,0.2644628099173554
2018-04,0.7842334248000035,0.6107954545454546,0.5435777790861989,0.5591375711757526,0.7326860345966053,0.2215909090909091,1.0
2018-05,0.8090808357150499,0.5534782608695653,0.518804347826087,0.551931437074705,0.6087736926642996,0.9619565217391305,0.145
2018-06,0.7978147674069279,0.5094043887147335,0.534831069313828,0.5463065639214961,0.7759536146373194,1.0,0.018808777429467086
2018-07,0.7949076086593057,0.5488767869298843,0.44304515543453593,0.5407905505418246,0.6473074490275313,0.8259587020648967,0.2717948717948718
2018-08,0.7888064670469217,0.5229138275282857,0.5388711057585649,0.5373310392629795,0.7633608591142931,0.13215859030837004,0.9136690647482014
2018-09,0.7772425627361036,0.49310344827586206,0.4815753887762001,0.5367426467285146,0.734935352470705,0.9862068965517241,0.0
2018-10,0.7810136086072376,0.5,0.5068047337278107,0.5437045545716609,0.7620356606931872,1.0,0.0
2018-11,0.7511693043067378,0.44476955730745904,0.4962856276531231,0.5714673410039022,0.9973550049556908,0.8865979381443299,0.0029411764705882353
2018-12,0.803054849463958,0.5253164556962026,0.5058592251630226,0.5680130010248626,0.913432241118087,1.0,0.05063291139240506
2019-01,0.7943501170960188,0.5128836680560818,0.49901319944423395,0.564774561604331,0.6689626381602468,0.7400530503978779,0.2857142857142857
2019-02,0.7766064930393588,0.5,0.497170470622326,0.5674558497740815,0.669972038736256,1.0,0.0
2019-03,0.771854450303657,0.48964970557149334,0.5177487543409331,0.568100213715341,0.6689665042907573,0.611731843575419,0.3675675675675676
