Month,AUC_Model_Train,AUC_Model_Test,AUC_Random,Log_Loss_Train,Log_Loss_Test,Sensitivity,Specificity
2017-08,0.853720338720869,0.5,0.4731120354364736,0.307392201470878,0.6180319349841813,1.0,0.0
2017-09,0.8710566517797699,0.5,0.5221893491124261,0.2975295933456002,1.3278094248639312,1.0,0.0
2017-10,0.8702598919892225,0.5,0.4871861471861471,0.3093897799193547,0.233696583021237,1.0,0.0
2017-11,0.8679486257176153,0.5,0.5186608844207898,0.2817224615616868,1.6192740746556298,1.0,0.0
2017-12,0.8886248834047215,0.506188826983888,0.5363800632434874,0.2836605720641524,0.6631240341715342,0.8551724137931035,0.1572052401746725
2018-01,0.9113102743647876,0.12363636363636364,0.4994444444444444,0.29188081012372324,1.0294710634441178,0.02,0.22727272727272727
2018-02,0.9187071575992944,0.5,0.5115991471215352,0.319355895446727,0.2276164250920745,1.0,0.0
2018-03,0.9222535991140643,0.5,0.5324164884595531,0.34178852594951187,1.5026378949780719,1.0,0.0
2018-04,0.9109461791570328,0.43003401360544213,0.5062244897959184,0.368878779963956,0.9123815413952556,0.8233333333333334,0.036734693877551024
2018-05,0.8979756525476958,0.5609756097560976,0.5133271585880417,0.3834663003117074,0.955557253819716,0.12195121951219512,1.0
2018-06,0.882613413801022,0.3464285714285714,0.5366071428571428,0.39443985920240565,0.7738893164268082,0.5857142857142857,0.10714285714285714
2018-07,0.9183186905629656,0.33890651696363194,0.5684443902042144,0.3716388069080222,0.5586029187122207,0.5601659751037344,0.11764705882352941
2018-08,0.899183106375195,0.5,0.4885456885456886,0.3643121346165327,0.9807532198559749,0.0,1.0
2018-09,0.9045932344492882,0.3697683868346201,0.510395503182988,0.33361254276649954,0.8234588665159721,0.6086956521739131,0.1308411214953271
2018-10,0.9041485377385907,0.41454209996645425,0.5393324387789332,0.3318323896361105,1.0467496942332686,0.45454545454545453,0.37453874538745385
2018-11,0.8796884499869494,,,0.36234487791223924,,0.0,0.0
2018-12,0.9194257850274858,0.5,0.5372101073035653,0.3528435657948573,1.0067516027384904,1.0,0.0
2019-01,0.9291203730956419,0.5119760479041916,0.43938789088489694,0.34915204081540896,1.0419276901900698,0.023952095808383235,1.0
2019-02,0.8861989918560289,0.5,0.5081279700849153,0.3499060149912699,0.49709768069584687,1.0,0.0
2019-03,0.8762707682560376,0.5,0.4254792826221398,0.3425618831290284,0.3437449768258547,1.0,0.0
2019-04,0.8923964694906672,0.5,0.4959415584415584,0.30874053607315216,0.5801596616695781,1.0,0.0
2019-05,0.8932866088941992,0.5,0.5499269577535452,0.26133591315663085,1.304778088419187,1.0,0.0
2019-06,0.9255440976538382,0.5533596837944664,0.4535573122529644,0.2762037744879,1.2499945855028478,0.1067193675889328,1.0
2019-07,0.9252722033720502,0.4874872422943457,0.5106552357624005,0.2717180989189053,0.7100058342161504,0.744927536231884,0.2300469483568075
2019-08,0.9392209226169939,0.4575614861329147,0.5438077795220652,0.25694170154147516,0.5823602270167143,0.8843537414965986,0.03076923076923077
2019-09,0.9323081314133974,0.5,0.43548669467787116,0.290069732980212,0.5366060295064421,1.0,0.0
2019-10,0.924872815515805,,,0.2795528423715412,,0.6254180602006689,0.0
2019-11,0.9111864673639488,0.5490867579908676,0.4668623613829093,0.26189350326566657,0.8749010014702246,0.09817351598173515,1.0
2019-12,0.8783884509879294,,,0.26747569017888906,,0.5449438202247191,0.0
2020-01,0.8209993432125118,0.5089583333333333,0.5290277777777778,0.2653223293679099,0.47194575934460786,0.9866666666666667,0.03125
2020-02,0.7950494869369041,0.5,0.47844095157179267,0.2294983057155515,1.4656095497736277,1.0,0.0
2020-03,0.8380540765437013,0.5,0.4776518218623482,0.2511896008580202,1.2979083683346997,1.0,0.0
2020-04,0.8649405218630024,0.4559386973180077,0.49257662835249044,0.2848620624834938,0.40881959773438775,0.9118773946360154,0.0
2020-05,0.8555992907547115,0.5,0.52,0.30328391421765183,0.3149236186428734,1.0,0.0
2020-06,0.787843562773215,,,0.2725919038468065,,1.0,0.0
2020-07,0.828151936247988,0.5,0.5055791369219886,0.24037711483478305,0.7705357382966012,1.0,0.0
2020-08,0.7978704156555708,0.5480769230769231,0.4739010989010989,0.25907933548668616,0.6836644569382315,0.804945054945055,0.29120879120879123
2020-09,0.7901147896018689,0.5,0.4866565001906214,0.21016918199174742,1.2551147908651699,1.0,0.0
2020-10,0.8456500422152299,0.3494736842105263,0.4475303643724696,0.2271814350935294,0.8636928416037689,0.6584615384615384,0.04048582995951417
2020-11,0.8679723973275408,0.842896174863388,0.4765643038559224,0.2487405343590235,0.5850527293095601,0.6857923497267759,1.0
2020-12,0.8555584878932243,0.5,0.508284023668639,0.29569364287266015,0.588034638577036,1.0,0.0
2021-01,0.8452458543024501,0.5,0.49943396226415093,0.26784704581203406,0.8043574689848124,1.0,0.0
2021-02,0.8660752703211787,0.21352005532503457,0.4042185338865837,0.2807012646839156,1.9265608546772632,0.4166666666666667,0.01037344398340249
2021-03,0.8703711774139502,0.8052884615384616,0.4909989316239316,0.28425863722848166,0.5108057902641985,0.6105769230769231,1.0
2021-04,0.8738254009010563,0.5,0.45619658119658124,0.2818392112397929,1.1174076095445977,1.0,0.0
2021-05,0.887101839389861,0.5,0.4296398046398046,0.2706353065812056,1.295663791159253,1.0,0.0
2021-06,0.8956371227051135,,,0.32440650954662764,,1.0,0.0
2021-07,0.8929253110825148,0.5,0.5068850757205667,0.3332803689291203,0.6476233052970873,1.0,0.0
