TradeDateIdx,Date,MJD,EarlyClose
0,20160104,57391,False
1,20160105,57392,False
2,20160106,57393,False
3,20160107,57394,False
4,20160108,57395,False
5,20160111,57398,False
6,20160112,57399,False
7,20160113,57400,False
8,20160114,57401,False
9,20160115,57402,False
10,20160119,57406,False
11,20160120,57407,False
12,20160121,57408,False
13,20160122,57409,False
14,20160125,57412,False
15,20160126,57413,False
16,20160127,57414,False
17,20160128,57415,False
18,20160129,57416,False
19,20160201,57419,False
20,20160202,57420,False
21,20160203,57421,False
22,20160204,57422,False
23,20160205,57423,False
24,20160208,57426,False
25,20160209,57427,False
26,20160210,57428,False
27,20160211,57429,False
28,20160212,57430,False
29,20160216,57434,False
30,20160217,57435,False
31,20160218,57436,False
32,20160219,57437,False
33,20160222,57440,False
34,20160223,57441,False
35,20160224,57442,False
36,20160225,57443,False
37,20160226,57444,False
38,20160229,57447,False
39,20160301,57448,False
40,20160302,57449,False
41,20160303,57450,False
42,20160304,57451,False
43,20160307,57454,False
44,20160308,57455,False
45,20160309,57456,False
46,20160310,57457,False
47,20160311,57458,False
48,20160314,57461,False
49,20160315,57462,False
50,20160316,57463,False
51,20160317,57464,False
52,20160318,57465,False
53,20160321,57468,False
54,20160322,57469,False
55,20160323,57470,False
56,20160324,57471,False
57,20160328,57475,False
58,20160329,57476,False
59,20160330,57477,False
60,20160331,57478,False
61,20160401,57479,False
62,20160404,57482,False
63,20160405,57483,False
64,20160406,57484,False
65,20160407,57485,False
66,20160408,57486,False
67,20160411,57489,False
68,20160412,57490,False
69,20160413,57491,False
70,20160414,57492,False
71,20160415,57493,False
72,20160418,57496,False
73,20160419,57497,False
74,20160420,57498,False
75,20160421,57499,False
76,20160422,57500,False
77,20160425,57503,False
78,20160426,57504,False
79,20160427,57505,False
80,20160428,57506,False
81,20160429,57507,False
82,20160502,57510,False
83,20160503,57511,False
84,20160504,57512,False
85,20160505,57513,False
86,20160506,57514,False
87,20160509,57517,False
88,20160510,57518,False
89,20160511,57519,False
90,20160512,57520,False
91,20160513,57521,False
92,20160516,57524,False
93,20160517,57525,False
94,20160518,57526,False
95,20160519,57527,False
96,20160520,57528,False
97,20160523,57531,False
98,20160524,57532,False
99,20160525,57533,False
100,20160526,57534,False
101,20160527,57535,False
102,20160531,57539,False
103,20160601,57540,False
104,20160602,57541,False
105,20160603,57542,False
106,20160606,57545,False
107,20160607,57546,False
108,20160608,57547,False
109,20160609,57548,False
110,20160610,57549,False
111,20160613,57552,False
112,20160614,57553,False
113,20160615,57554,False
114,20160616,57555,False
115,20160617,57556,False
116,20160620,57559,False
117,20160621,57560,False
118,20160622,57561,False
119,20160623,57562,False
120,20160624,57563,False
121,20160627,57566,False
122,20160628,57567,False
123,20160629,57568,False
124,20160630,57569,False
125,20160701,57570,False
126,20160705,57574,False
127,20160706,57575,False
128,20160707,57576,False
129,20160708,57577,False
130,20160711,57580,False
131,20160712,57581,False
132,20160713,57582,False
133,20160714,57583,False
134,20160715,57584,False
135,20160718,57587,False
136,20160719,57588,False
137,20160720,57589,False
138,20160721,57590,False
139,20160722,57591,False
140,20160725,57594,False
141,20160726,57595,False
142,20160727,57596,False
143,20160728,57597,False
144,20160729,57598,False
145,20160801,57601,False
146,20160802,57602,False
147,20160803,57603,False
148,20160804,57604,False
149,20160805,57605,False
150,20160808,57608,False
151,20160809,57609,False
152,20160810,57610,False
153,20160811,57611,False
154,20160812,57612,False
155,20160815,57615,False
156,20160816,57616,False
157,20160817,57617,False
158,20160818,57618,False
159,20160819,57619,False
160,20160822,57622,False
161,20160823,57623,False
162,20160824,57624,False
163,20160825,57625,False
164,20160826,57626,False
165,20160829,57629,False
166,20160830,57630,False
167,20160831,57631,False
168,20160901,57632,False
169,20160902,57633,False
170,20160906,57637,False
171,20160907,57638,False
172,20160908,57639,False
173,20160909,57640,False
174,20160912,57643,False
175,20160913,57644,False
176,20160914,57645,False
177,20160915,57646,False
178,20160916,57647,False
179,20160919,57650,False
180,20160920,57651,False
181,20160921,57652,False
182,20160922,57653,False
183,20160923,57654,False
184,20160926,57657,False
185,20160927,57658,False
186,20160928,57659,False
187,20160929,57660,False
188,20160930,57661,False
189,20161003,57664,False
190,20161004,57665,False
191,20161005,57666,False
192,20161006,57667,False
193,20161007,57668,False
194,20161010,57671,False
195,20161011,57672,False
196,20161012,57673,False
197,20161013,57674,False
198,20161014,57675,False
199,20161017,57678,False
200,20161018,57679,False
201,20161019,57680,False
202,20161020,57681,False
203,20161021,57682,False
204,20161024,57685,False
205,20161025,57686,False
206,20161026,57687,False
207,20161027,57688,False
208,20161028,57689,False
209,20161031,57692,False
210,20161101,57693,False
211,20161102,57694,False
212,20161103,57695,False
213,20161104,57696,False
214,20161107,57699,False
215,20161108,57700,False
216,20161109,57701,False
217,20161110,57702,False
218,20161111,57703,False
219,20161114,57706,False
220,20161115,57707,False
221,20161116,57708,False
222,20161117,57709,False
223,20161118,57710,False
224,20161121,57713,False
225,20161122,57714,False
226,20161123,57715,False
227,20161125,57717,True
228,20161128,57720,False
229,20161129,57721,False
230,20161130,57722,False
231,20161201,57723,False
232,20161202,57724,False
233,20161205,57727,False
234,20161206,57728,False
235,20161207,57729,False
236,20161208,57730,False
237,20161209,57731,False
238,20161212,57734,False
239,20161213,57735,False
240,20161214,57736,False
241,20161215,57737,False
242,20161216,57738,False
243,20161219,57741,False
244,20161220,57742,False
245,20161221,57743,False
246,20161222,57744,False
247,20161223,57745,False
248,20161227,57749,False
249,20161228,57750,False
250,20161229,57751,False
251,20161230,57752,False
252,20170103,57756,False
253,20170104,57757,False
254,20170105,57758,False
255,20170106,57759,False
256,20170109,57762,False
257,20170110,57763,False
258,20170111,57764,False
259,20170112,57765,False
260,20170113,57766,False
261,20170117,57770,False
262,20170118,57771,False
263,20170119,57772,False
264,20170120,57773,False
265,20170123,57776,False
266,20170124,57777,False
267,20170125,57778,False
268,20170126,57779,False
269,20170127,57780,False
270,20170130,57783,False
271,20170131,57784,False
272,20170201,57785,False
273,20170202,57786,False
274,20170203,57787,False
275,20170206,57790,False
276,20170207,57791,False
277,20170208,57792,False
278,20170209,57793,False
279,20170210,57794,False
280,20170213,57797,False
281,20170214,57798,False
282,20170215,57799,False
283,20170216,57800,False
284,20170217,57801,False
285,20170221,57805,False
286,20170222,57806,False
287,20170223,57807,False
288,20170224,57808,False
289,20170227,57811,False
290,20170228,57812,False
291,20170301,57813,False
292,20170302,57814,False
293,20170303,57815,False
294,20170306,57818,False
295,20170307,57819,False
296,20170308,57820,False
297,20170309,57821,False
298,20170310,57822,False
299,20170313,57825,False
300,20170314,57826,False
301,20170315,57827,False
302,20170316,57828,False
303,20170317,57829,False
304,20170320,57832,False
305,20170321,57833,False
306,20170322,57834,False
307,20170323,57835,False
308,20170324,57836,False
309,20170327,57839,False
310,20170328,57840,False
311,20170329,57841,False
312,20170330,57842,False
313,20170331,57843,False
314,20170403,57846,False
315,20170404,57847,False
316,20170405,57848,False
317,20170406,57849,False
318,20170407,57850,False
319,20170410,57853,False
320,20170411,57854,False
321,20170412,57855,False
322,20170413,57856,False
323,20170417,57860,False
324,20170418,57861,False
325,20170419,57862,False
326,20170420,57863,False
327,20170421,57864,False
328,20170424,57867,False
329,20170425,57868,False
330,20170426,57869,False
331,20170427,57870,False
332,20170428,57871,False
333,20170501,57874,False
334,20170502,57875,False
335,20170503,57876,False
